,Protest,country
2010-11-01,0,Egypt
2010-11-02,0,Egypt
2010-11-03,0,Egypt
2010-11-04,0,Egypt
2010-11-05,0,Egypt
2010-11-06,0,Egypt
2010-11-07,0,Egypt
2010-11-08,2,Egypt
2010-11-09,1,Egypt
2010-11-10,1,Egypt
2010-11-11,0,Egypt
2010-11-12,0,Egypt
2010-11-13,0,Egypt
2010-11-14,0,Egypt
2010-11-15,0,Egypt
2010-11-16,0,Egypt
2010-11-17,0,Egypt
2010-11-18,0,Egypt
2010-11-19,0,Egypt
2010-11-20,0,Egypt
2010-11-21,1,Egypt
2010-11-22,0,Egypt
2010-11-23,6,Egypt
2010-11-24,22,Egypt
2010-11-25,8,Egypt
2010-11-26,3,Egypt
2010-11-27,4,Egypt
2010-11-28,9,Egypt
2010-11-29,1,Egypt
2010-11-30,2,Egypt
2010-12-01,2,Egypt
2010-12-02,3,Egypt
2010-12-03,0,Egypt
2010-12-04,0,Egypt
2010-12-05,3,Egypt
2010-12-06,7,Egypt
2010-12-07,7,Egypt
2010-12-08,2,Egypt
2010-12-09,1,Egypt
2010-12-10,2,Egypt
2010-12-11,5,Egypt
2010-12-12,10,Egypt
2010-12-13,2,Egypt
2010-12-14,6,Egypt
2010-12-15,1,Egypt
2010-12-16,0,Egypt
2010-12-17,0,Egypt
2010-12-18,0,Egypt
2010-12-19,0,Egypt
2010-12-20,0,Egypt
2010-12-21,0,Egypt
2010-12-22,0,Egypt
2010-12-23,0,Egypt
2010-12-24,1,Egypt
2010-12-25,1,Egypt
2010-12-26,0,Egypt
2010-12-27,1,Egypt
2010-12-28,1,Egypt
2010-12-29,0,Egypt
2010-12-30,0,Egypt
2010-12-31,2,Egypt
2011-01-01,11,Egypt
2011-01-02,6,Egypt
2011-01-03,20,Egypt
2011-01-04,19,Egypt
2011-01-05,11,Egypt
2011-01-06,5,Egypt
2011-01-07,1,Egypt
2011-01-08,2,Egypt
2011-01-09,0,Egypt
2011-01-10,1,Egypt
2011-01-11,3,Egypt
2011-01-12,7,Egypt
2011-01-13,4,Egypt
2011-01-14,2,Egypt
2011-01-15,2,Egypt
2011-01-16,1,Egypt
2011-01-17,8,Egypt
2011-01-18,14,Egypt
2011-01-19,0,Egypt
2011-01-20,5,Egypt
2011-01-21,0,Egypt
2011-01-22,0,Egypt
2011-01-23,1,Egypt
2011-01-24,1,Egypt
2011-01-25,90,Egypt
2011-01-26,93,Egypt
2011-01-27,79,Egypt
2011-01-28,117,Egypt
2011-01-29,95,Egypt
2011-01-30,46,Egypt
2011-01-31,69,Egypt
2011-02-01,84,Egypt
2011-02-02,83,Egypt
2011-02-03,66,Egypt
2011-02-04,67,Egypt
2011-02-05,32,Egypt
2011-02-06,22,Egypt
2011-02-07,35,Egypt
2011-02-08,37,Egypt
2011-02-09,43,Egypt
2011-02-10,42,Egypt
2011-02-11,78,Egypt
2011-02-12,30,Egypt
2011-02-13,12,Egypt
2011-02-14,25,Egypt
2011-02-15,9,Egypt
2011-02-16,10,Egypt
2011-02-17,9,Egypt
2011-02-18,17,Egypt
2011-02-19,12,Egypt
2011-02-20,7,Egypt
2011-02-21,15,Egypt
2011-02-22,4,Egypt
2011-02-23,9,Egypt
2011-02-24,3,Egypt
2011-02-25,16,Egypt
2011-02-26,15,Egypt
2011-02-27,3,Egypt
2011-02-28,5,Egypt
2011-03-01,3,Egypt
2011-03-02,2,Egypt
2011-03-03,2,Egypt
2011-03-04,10,Egypt
2011-03-05,17,Egypt
2011-03-06,10,Egypt
2011-03-07,24,Egypt
2011-03-08,9,Egypt
2011-03-09,7,Egypt
2011-03-10,3,Egypt
2011-03-11,6,Egypt
2011-03-12,1,Egypt
2011-03-13,0,Egypt
2011-03-14,1,Egypt
2011-03-15,1,Egypt
2011-03-16,0,Egypt
2011-03-17,2,Egypt
2011-03-18,2,Egypt
2011-03-19,4,Egypt
2011-03-20,0,Egypt
2011-03-21,1,Egypt
2011-03-22,4,Egypt
2011-03-23,8,Egypt
2011-03-24,3,Egypt
2011-03-25,2,Egypt
2011-03-26,1,Egypt
2011-03-27,3,Egypt
2011-03-28,0,Egypt
2011-03-29,0,Egypt
2011-03-30,0,Egypt
2011-03-31,1,Egypt
2011-04-01,2,Egypt
2011-04-02,0,Egypt
2011-04-03,0,Egypt
2011-04-04,0,Egypt
2011-04-05,1,Egypt
2011-04-06,0,Egypt
2011-04-07,1,Egypt
2011-04-08,7,Egypt
2011-04-09,31,Egypt
2011-04-10,12,Egypt
2011-04-11,11,Egypt
2011-04-12,5,Egypt
2011-04-13,3,Egypt
2011-04-14,5,Egypt
2011-04-15,2,Egypt
2011-04-16,2,Egypt
2011-04-17,1,Egypt
2011-04-18,1,Egypt
2011-04-19,3,Egypt
2011-04-20,2,Egypt
2011-04-21,5,Egypt
2011-04-22,5,Egypt
2011-04-23,0,Egypt
2011-04-24,1,Egypt
2011-04-25,2,Egypt
2011-04-26,1,Egypt
2011-04-27,1,Egypt
2011-04-28,0,Egypt
2011-04-29,0,Egypt
2011-04-30,1,Egypt
2011-05-01,2,Egypt
2011-05-02,1,Egypt
2011-05-03,0,Egypt
2011-05-04,3,Egypt
2011-05-05,0,Egypt
2011-05-06,4,Egypt
2011-05-07,1,Egypt
2011-05-08,7,Egypt
2011-05-09,14,Egypt
2011-05-10,1,Egypt
2011-05-11,1,Egypt
2011-05-12,5,Egypt
2011-05-13,9,Egypt
2011-05-14,2,Egypt
2011-05-15,9,Egypt
2011-05-16,14,Egypt
2011-05-17,1,Egypt
2011-05-18,1,Egypt
2011-05-19,3,Egypt
2011-05-20,1,Egypt
2011-05-21,0,Egypt
2011-05-22,4,Egypt
2011-05-23,2,Egypt
2011-05-24,1,Egypt
2011-05-25,2,Egypt
2011-05-26,5,Egypt
2011-05-27,7,Egypt
2011-05-28,1,Egypt
2011-05-29,0,Egypt
2011-05-30,1,Egypt
2011-05-31,4,Egypt
2011-06-01,1,Egypt
2011-06-02,1,Egypt
2011-06-03,3,Egypt
2011-06-04,7,Egypt
2011-06-05,2,Egypt
2011-06-06,3,Egypt
2011-06-07,5,Egypt
2011-06-08,1,Egypt
2011-06-09,0,Egypt
2011-06-10,0,Egypt
2011-06-11,0,Egypt
2011-06-12,0,Egypt
2011-06-13,0,Egypt
2011-06-14,0,Egypt
2011-06-15,1,Egypt
2011-06-16,1,Egypt
2011-06-17,0,Egypt
2011-06-18,0,Egypt
2011-06-19,0,Egypt
2011-06-20,1,Egypt
2011-06-21,0,Egypt
2011-06-22,0,Egypt
2011-06-23,0,Egypt
2011-06-24,3,Egypt
2011-06-25,2,Egypt
2011-06-26,3,Egypt
2011-06-27,0,Egypt
2011-06-28,6,Egypt
2011-06-29,30,Egypt
2011-06-30,20,Egypt
2011-07-01,5,Egypt
2011-07-02,3,Egypt
2011-07-03,1,Egypt
2011-07-04,4,Egypt
2011-07-05,4,Egypt
2011-07-06,14,Egypt
2011-07-07,8,Egypt
2011-07-08,11,Egypt
2011-07-09,8,Egypt
2011-07-10,6,Egypt
2011-07-11,6,Egypt
2011-07-12,11,Egypt
2011-07-13,8,Egypt
2011-07-14,4,Egypt
2011-07-15,11,Egypt
2011-07-16,6,Egypt
2011-07-17,10,Egypt
2011-07-18,10,Egypt
2011-07-19,3,Egypt
2011-07-20,2,Egypt
2011-07-21,7,Egypt
2011-07-22,10,Egypt
2011-07-23,18,Egypt
2011-07-24,7,Egypt
2011-07-25,2,Egypt
2011-07-26,2,Egypt
2011-07-27,3,Egypt
2011-07-28,0,Egypt
2011-07-29,6,Egypt
2011-07-30,4,Egypt
2011-07-31,7,Egypt
2011-08-01,5,Egypt
2011-08-02,3,Egypt
2011-08-03,4,Egypt
2011-08-04,1,Egypt
2011-08-05,0,Egypt
2011-08-06,2,Egypt
2011-08-07,0,Egypt
2011-08-08,0,Egypt
2011-08-09,0,Egypt
2011-08-10,0,Egypt
2011-08-11,1,Egypt
2011-08-12,9,Egypt
