Event_ID,Event_Date,Source_Name,Source_Sectors,Source_Country,Event_Text,CAMEO_Code,Intensity,Target_Name,Target_Sectors,Target_Country,Story_ID,Sentence_Number,Publisher,City,District,Province,Country,Latitude,Longitude,CAMEO_Code_Modified
16594405,2010-11-08,Main Opposition (Egypt),"Protestors / Popular Opposition / Mobs,Dissident",Egypt,Conduct strike or boycott,143,-6.5,Unspecified Actor,Unspecified,,7342791,6,Agence France-Presse,,,,Egypt,30.0626,31.2497,143
16595230,2010-11-08,Muslim Brotherhood,"International Religious,Fundamentalist,Dissident,Ideological,Banned Parties,Sunni",Egypt,Conduct strike or boycott,143,-6.5,Unspecified Actor,Unspecified,,7577315,4,Al Arabiya,,,,Egypt,30.0626,31.2497,143
16601045,2010-11-09,Muslim Brotherhood,"International Religious,Fundamentalist,Dissident,Ideological,Banned Parties,Sunni",Egypt,Conduct strike or boycott,143,-6.5,Unspecified Actor,Unspecified,,7485357,4,Agence France-Presse,,,,Egypt,30.0626,31.2497,143
16605004,2010-11-10,Muslim Brotherhood,"International Religious,Fundamentalist,Dissident,Ideological,Banned Parties,Sunni",Egypt,Conduct strike or boycott,143,-6.5,Unspecified Actor,Unspecified,,7656037,3,BBC Monitoring Newsfile,,,,Egypt,30.0626,31.2497,143
16643433,2010-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,8144219,6,Associated Press Newswires,Alexandria,,Muhafazat al Iskandariyah,Egypt,31.2156,29.9553,141
16652419,2010-11-23,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,8002595,5,BBC Monitoring Middle East,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,141
16653149,2010-11-23,Christian (Egypt),"Christian,Social,International Religious,National Religious",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,8207586,1,Al Arabiya,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
16653150,2010-11-23,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,8207586,3,Al Arabiya,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
16653153,2010-11-23,Christian (Egypt),"Christian,Social,International Religious,National Religious",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,8207586,3,Al Arabiya,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
16648616,2010-11-23,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,13378257,3,All Africa,Alexandria,,Muhafazat al Iskandariyah,Egypt,31.2156,29.9553,141
16651132,2010-11-23,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,33970794,3,All Africa,Alexandria,,Muhafazat al Iskandariyah,Egypt,31.2156,29.9553,141
16656301,2010-11-24,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,6757336,1,BBC Monitoring Newsfile,Giza,,Muhafazat al Jizah,Egypt,30.0081,31.2109,145
