,Protest,country
2010-11-01,0,Syria
2010-11-02,0,Syria
2010-11-03,0,Syria
2010-11-04,0,Syria
2010-11-05,0,Syria
2010-11-06,0,Syria
2010-11-07,0,Syria
2010-11-08,0,Syria
2010-11-09,0,Syria
2010-11-10,0,Syria
2010-11-11,0,Syria
2010-11-12,0,Syria
2010-11-13,0,Syria
2010-11-14,0,Syria
2010-11-15,0,Syria
2010-11-16,0,Syria
2010-11-17,0,Syria
2010-11-18,0,Syria
2010-11-19,0,Syria
2010-11-20,0,Syria
2010-11-21,0,Syria
2010-11-22,0,Syria
2010-11-23,0,Syria
2010-11-24,0,Syria
2010-11-25,0,Syria
2010-11-26,0,Syria
2010-11-27,0,Syria
2010-11-28,0,Syria
2010-11-29,0,Syria
2010-11-30,0,Syria
2010-12-01,0,Syria
2010-12-02,0,Syria
2010-12-03,0,Syria
2010-12-04,0,Syria
2010-12-05,0,Syria
2010-12-06,0,Syria
2010-12-07,0,Syria
2010-12-08,0,Syria
2010-12-09,0,Syria
2010-12-10,0,Syria
2010-12-11,0,Syria
2010-12-12,0,Syria
2010-12-13,0,Syria
2010-12-14,0,Syria
2010-12-15,0,Syria
2010-12-16,0,Syria
2010-12-17,0,Syria
2010-12-18,0,Syria
2010-12-19,0,Syria
2010-12-20,0,Syria
2010-12-21,0,Syria
2010-12-22,0,Syria
2010-12-23,0,Syria
2010-12-24,0,Syria
2010-12-25,0,Syria
2010-12-26,0,Syria
2010-12-27,0,Syria
2010-12-28,0,Syria
2010-12-29,0,Syria
2010-12-30,0,Syria
2010-12-31,0,Syria
2011-01-01,0,Syria
2011-01-02,0,Syria
2011-01-03,0,Syria
2011-01-04,0,Syria
2011-01-05,0,Syria
2011-01-06,0,Syria
2011-01-07,0,Syria
2011-01-08,0,Syria
2011-01-09,0,Syria
2011-01-10,0,Syria
2011-01-11,0,Syria
2011-01-12,0,Syria
2011-01-13,0,Syria
2011-01-14,0,Syria
2011-01-15,0,Syria
2011-01-16,0,Syria
2011-01-17,0,Syria
2011-01-18,0,Syria
2011-01-19,0,Syria
2011-01-20,0,Syria
2011-01-21,0,Syria
2011-01-22,0,Syria
2011-01-23,0,Syria
2011-01-24,0,Syria
2011-01-25,0,Syria
2011-01-26,0,Syria
2011-01-27,0,Syria
2011-01-28,1,Syria
2011-01-29,1,Syria
2011-01-30,0,Syria
2011-01-31,0,Syria
2011-02-01,0,Syria
2011-02-02,0,Syria
2011-02-03,0,Syria
2011-02-04,0,Syria
2011-02-05,2,Syria
2011-02-06,0,Syria
2011-02-07,0,Syria
2011-02-08,0,Syria
2011-02-09,0,Syria
2011-02-10,0,Syria
2011-02-11,0,Syria
2011-02-12,0,Syria
2011-02-13,0,Syria
2011-02-14,0,Syria
2011-02-15,0,Syria
2011-02-16,1,Syria
2011-02-17,0,Syria
2011-02-18,0,Syria
2011-02-19,0,Syria
2011-02-20,0,Syria
2011-02-21,1,Syria
2011-02-22,1,Syria
2011-02-23,1,Syria
2011-02-24,0,Syria
2011-02-25,0,Syria
2011-02-26,0,Syria
2011-02-27,1,Syria
2011-02-28,0,Syria
2011-03-01,0,Syria
2011-03-02,0,Syria
2011-03-03,0,Syria
2011-03-04,1,Syria
2011-03-05,0,Syria
2011-03-06,0,Syria
2011-03-07,1,Syria
2011-03-08,0,Syria
2011-03-09,0,Syria
2011-03-10,1,Syria
2011-03-11,0,Syria
2011-03-12,0,Syria
2011-03-13,1,Syria
2011-03-14,0,Syria
2011-03-15,6,Syria
2011-03-16,12,Syria
2011-03-17,6,Syria
2011-03-18,21,Syria
2011-03-19,21,Syria
2011-03-20,29,Syria
2011-03-21,28,Syria
2011-03-22,18,Syria
2011-03-23,37,Syria
2011-03-24,28,Syria
2011-03-25,35,Syria
2011-03-26,28,Syria
2011-03-27,20,Syria
2011-03-28,15,Syria
2011-03-29,16,Syria
2011-03-30,8,Syria
2011-03-31,5,Syria
2011-04-01,36,Syria
2011-04-02,21,Syria
2011-04-03,9,Syria
2011-04-04,2,Syria
2011-04-05,3,Syria
2011-04-06,3,Syria
2011-04-07,2,Syria
2011-04-08,25,Syria
2011-04-09,18,Syria
2011-04-10,7,Syria
2011-04-11,17,Syria
2011-04-12,10,Syria
2011-04-13,14,Syria
2011-04-14,4,Syria
2011-04-15,23,Syria
2011-04-16,22,Syria
2011-04-17,7,Syria
2011-04-18,15,Syria
2011-04-19,42,Syria
2011-04-20,14,Syria
2011-04-21,11,Syria
2011-04-22,48,Syria
2011-04-23,28,Syria
2011-04-24,5,Syria
2011-04-25,6,Syria
2011-04-26,4,Syria
2011-04-27,6,Syria
2011-04-28,2,Syria
2011-04-29,20,Syria
2011-04-30,8,Syria
2011-05-01,1,Syria
2011-05-02,3,Syria
2011-05-03,5,Syria
2011-05-04,8,Syria
2011-05-05,5,Syria
2011-05-06,25,Syria
2011-05-07,8,Syria
2011-05-08,9,Syria
2011-05-09,10,Syria
2011-05-10,4,Syria
2011-05-11,2,Syria
2011-05-12,7,Syria
2011-05-13,21,Syria
2011-05-14,7,Syria
2011-05-15,5,Syria
2011-05-16,14,Syria
2011-05-17,3,Syria
2011-05-18,2,Syria
2011-05-19,2,Syria
2011-05-20,18,Syria
2011-05-21,13,Syria
2011-05-22,9,Syria
2011-05-23,0,Syria
2011-05-24,6,Syria
2011-05-25,2,Syria
2011-05-26,2,Syria
2011-05-27,22,Syria
