,Protest,country
2010-11-01,1,Yemen
2010-11-02,1,Yemen
2010-11-03,0,Yemen
2010-11-04,0,Yemen
2010-11-05,0,Yemen
2010-11-06,0,Yemen
2010-11-07,0,Yemen
2010-11-08,0,Yemen
2010-11-09,0,Yemen
2010-11-10,1,Yemen
2010-11-11,5,Yemen
2010-11-12,0,Yemen
2010-11-13,0,Yemen
2010-11-14,0,Yemen
2010-11-15,0,Yemen
2010-11-16,1,Yemen
2010-11-17,0,Yemen
2010-11-18,0,Yemen
2010-11-19,0,Yemen
2010-11-20,0,Yemen
2010-11-21,0,Yemen
2010-11-22,0,Yemen
2010-11-23,0,Yemen
2010-11-24,0,Yemen
2010-11-25,0,Yemen
2010-11-26,0,Yemen
2010-11-27,0,Yemen
2010-11-28,0,Yemen
2010-11-29,0,Yemen
2010-11-30,0,Yemen
2010-12-01,1,Yemen
2010-12-02,0,Yemen
2010-12-03,0,Yemen
2010-12-04,0,Yemen
2010-12-05,0,Yemen
2010-12-06,0,Yemen
2010-12-07,0,Yemen
2010-12-08,0,Yemen
2010-12-09,0,Yemen
2010-12-10,0,Yemen
2010-12-11,0,Yemen
2010-12-12,3,Yemen
2010-12-13,0,Yemen
2010-12-14,0,Yemen
2010-12-15,1,Yemen
2010-12-16,0,Yemen
2010-12-17,1,Yemen
2010-12-18,1,Yemen
2010-12-19,0,Yemen
2010-12-20,0,Yemen
2010-12-21,0,Yemen
2010-12-22,0,Yemen
2010-12-23,0,Yemen
2010-12-24,0,Yemen
2010-12-25,0,Yemen
2010-12-26,0,Yemen
2010-12-27,0,Yemen
2010-12-28,0,Yemen
2010-12-29,0,Yemen
2010-12-30,0,Yemen
2010-12-31,0,Yemen
2011-01-01,0,Yemen
2011-01-02,0,Yemen
2011-01-03,0,Yemen
2011-01-04,0,Yemen
2011-01-05,0,Yemen
2011-01-06,1,Yemen
2011-01-07,0,Yemen
2011-01-08,0,Yemen
2011-01-09,1,Yemen
2011-01-10,0,Yemen
2011-01-11,0,Yemen
2011-01-12,0,Yemen
2011-01-13,1,Yemen
2011-01-14,0,Yemen
2011-01-15,0,Yemen
2011-01-16,0,Yemen
2011-01-17,2,Yemen
2011-01-18,4,Yemen
2011-01-19,2,Yemen
2011-01-20,4,Yemen
2011-01-21,5,Yemen
2011-01-22,5,Yemen
2011-01-23,10,Yemen
2011-01-24,9,Yemen
2011-01-25,2,Yemen
2011-01-26,3,Yemen
2011-01-27,17,Yemen
2011-01-28,13,Yemen
2011-01-29,11,Yemen
2011-01-30,3,Yemen
2011-01-31,1,Yemen
2011-02-01,0,Yemen
2011-02-02,4,Yemen
2011-02-03,8,Yemen
2011-02-04,7,Yemen
2011-02-05,3,Yemen
2011-02-06,1,Yemen
2011-02-07,0,Yemen
2011-02-08,4,Yemen
2011-02-09,1,Yemen
2011-02-10,3,Yemen
2011-02-11,9,Yemen
2011-02-12,3,Yemen
2011-02-13,16,Yemen
2011-02-14,19,Yemen
2011-02-15,30,Yemen
2011-02-16,30,Yemen
2011-02-17,29,Yemen
2011-02-18,35,Yemen
2011-02-19,9,Yemen
2011-02-20,21,Yemen
2011-02-21,29,Yemen
2011-02-22,13,Yemen
2011-02-23,24,Yemen
2011-02-24,10,Yemen
2011-02-25,12,Yemen
2011-02-26,9,Yemen
2011-02-27,5,Yemen
2011-02-28,12,Yemen
2011-03-01,9,Yemen
2011-03-02,18,Yemen
2011-03-03,7,Yemen
2011-03-04,8,Yemen
2011-03-05,6,Yemen
2011-03-06,3,Yemen
2011-03-07,1,Yemen
2011-03-08,18,Yemen
2011-03-09,18,Yemen
2011-03-10,5,Yemen
2011-03-11,16,Yemen
2011-03-12,38,Yemen
2011-03-13,26,Yemen
2011-03-14,13,Yemen
2011-03-15,10,Yemen
2011-03-16,6,Yemen
2011-03-17,15,Yemen
2011-03-18,19,Yemen
2011-03-19,31,Yemen
2011-03-20,6,Yemen
2011-03-21,11,Yemen
2011-03-22,5,Yemen
2011-03-23,10,Yemen
2011-03-24,13,Yemen
2011-03-25,10,Yemen
2011-03-26,5,Yemen
2011-03-27,1,Yemen
2011-03-28,3,Yemen
2011-03-29,5,Yemen
2011-03-30,2,Yemen
2011-03-31,5,Yemen
2011-04-01,12,Yemen
2011-04-02,5,Yemen
2011-04-03,22,Yemen
2011-04-04,25,Yemen
2011-04-05,26,Yemen
2011-04-06,26,Yemen
2011-04-07,10,Yemen
2011-04-08,10,Yemen
2011-04-09,16,Yemen
2011-04-10,17,Yemen
2011-04-11,2,Yemen
2011-04-12,9,Yemen
2011-04-13,18,Yemen
2011-04-14,5,Yemen
2011-04-15,9,Yemen
2011-04-16,7,Yemen
2011-04-17,10,Yemen
2011-04-18,25,Yemen
2011-04-19,19,Yemen
2011-04-20,19,Yemen
2011-04-21,1,Yemen
2011-04-22,9,Yemen
2011-04-23,6,Yemen
2011-04-24,5,Yemen
2011-04-25,14,Yemen
2011-04-26,5,Yemen
2011-04-27,23,Yemen
2011-04-28,17,Yemen
2011-04-29,10,Yemen
2011-04-30,16,Yemen
2011-05-01,1,Yemen
2011-05-02,0,Yemen
2011-05-03,2,Yemen
2011-05-04,2,Yemen
2011-05-05,0,Yemen
2011-05-06,0,Yemen
2011-05-07,9,Yemen
2011-05-08,7,Yemen
2011-05-09,12,Yemen
2011-05-10,6,Yemen
2011-05-11,29,Yemen
2011-05-12,24,Yemen
2011-05-13,17,Yemen
2011-05-14,5,Yemen
2011-05-15,2,Yemen
2011-05-16,2,Yemen
2011-05-17,1,Yemen
2011-05-18,1,Yemen
2011-05-19,0,Yemen
2011-05-20,4,Yemen
2011-05-21,2,Yemen
2011-05-22,7,Yemen
2011-05-23,4,Yemen
2011-05-24,5,Yemen
2011-05-25,1,Yemen
2011-05-26,1,Yemen
2011-05-27,6,Yemen
2011-05-28,0,Yemen
2011-05-29,7,Yemen
2011-05-30,21,Yemen
2011-05-31,23,Yemen
2011-06-01,1,Yemen
2011-06-02,8,Yemen
2011-06-03,11,Yemen
2011-06-04,3,Yemen
2011-06-05,1,Yemen
2011-06-06,0,Yemen
2011-06-07,5,Yemen
2011-06-08,4,Yemen
2011-06-09,1,Yemen
2011-06-10,2,Yemen
2011-06-11,2,Yemen
2011-06-12,1,Yemen
2011-06-13,0,Yemen
2011-06-14,0,Yemen
2011-06-15,1,Yemen
2011-06-16,0,Yemen
2011-06-17,4,Yemen
2011-06-18,0,Yemen
2011-06-19,2,Yemen
2011-06-20,2,Yemen
2011-06-21,0,Yemen
2011-06-22,1,Yemen
2011-06-23,1,Yemen
2011-06-24,2,Yemen
2011-06-25,0,Yemen
2011-06-26,2,Yemen
2011-06-27,1,Yemen
2011-06-28,0,Yemen
2011-06-29,0,Yemen
2011-06-30,2,Yemen
2011-07-01,3,Yemen
2011-07-02,1,Yemen
2011-07-03,0,Yemen
2011-07-04,2,Yemen
2011-07-05,0,Yemen
2011-07-06,1,Yemen
2011-07-07,0,Yemen
2011-07-08,4,Yemen
2011-07-09,3,Yemen
2011-07-10,1,Yemen
2011-07-11,2,Yemen
2011-07-12,0,Yemen
2011-07-13,3,Yemen
2011-07-14,0,Yemen
2011-07-15,1,Yemen
2011-07-16,0,Yemen
2011-07-17,5,Yemen
2011-07-18,9,Yemen
2011-07-19,2,Yemen
2011-07-20,0,Yemen
2011-07-21,2,Yemen
2011-07-22,0,Yemen
2011-07-23,0,Yemen
2011-07-24,1,Yemen
2011-07-25,0,Yemen
2011-07-26,0,Yemen
2011-07-27,0,Yemen
2011-07-28,0,Yemen
2011-07-29,8,Yemen
2011-07-30,1,Yemen
2011-07-31,0,Yemen
2011-08-01,0,Yemen
2011-08-02,1,Yemen
2011-08-03,0,Yemen
2011-08-04,1,Yemen
2011-08-05,2,Yemen
2011-08-06,0,Yemen
2011-08-07,0,Yemen
2011-08-08,0,Yemen
2011-08-09,1,Yemen
2011-08-10,1,Yemen
2011-08-11,0,Yemen
2011-08-12,5,Yemen
2011-08-13,1,Yemen
2011-08-14,0,Yemen
2011-08-15,0,Yemen
2011-08-16,0,Yemen
2011-08-17,0,Yemen
2011-08-18,1,Yemen
2011-08-19,3,Yemen
2011-08-20,0,Yemen
2011-08-21,0,Yemen
2011-08-22,0,Yemen
2011-08-23,0,Yemen
2011-08-24,0,Yemen
2011-08-25,0,Yemen
2011-08-26,4,Yemen
2011-08-27,0,Yemen
2011-08-28,0,Yemen
2011-08-29,0,Yemen
2011-08-30,0,Yemen
2011-08-31,0,Yemen
2011-09-01,1,Yemen
2011-09-02,1,Yemen
2011-09-03,4,Yemen
2011-09-04,8,Yemen
2011-09-05,0,Yemen
2011-09-06,0,Yemen
2011-09-07,0,Yemen
2011-09-08,0,Yemen
2011-09-09,3,Yemen
2011-09-10,0,Yemen
2011-09-11,0,Yemen
2011-09-12,0,Yemen
2011-09-13,3,Yemen
2011-09-14,2,Yemen
2011-09-15,5,Yemen
2011-09-16,4,Yemen
2011-09-17,3,Yemen
2011-09-18,16,Yemen
2011-09-19,28,Yemen
2011-09-20,13,Yemen
2011-09-21,11,Yemen
2011-09-22,2,Yemen
2011-09-23,3,Yemen
2011-09-24,5,Yemen
2011-09-25,5,Yemen
2011-09-26,4,Yemen
2011-09-27,3,Yemen
2011-09-28,6,Yemen
2011-09-29,8,Yemen
2011-09-30,5,Yemen
2011-10-01,3,Yemen
2011-10-02,0,Yemen
2011-10-03,1,Yemen
2011-10-04,1,Yemen
2011-10-05,2,Yemen
2011-10-06,2,Yemen
2011-10-07,1,Yemen
2011-10-08,1,Yemen
2011-10-09,1,Yemen
2011-10-10,2,Yemen
2011-10-11,3,Yemen
2011-10-12,1,Yemen
2011-10-13,2,Yemen
2011-10-14,2,Yemen
2011-10-15,8,Yemen
2011-10-16,12,Yemen
2011-10-17,9,Yemen
2011-10-18,12,Yemen
2011-10-19,4,Yemen
2011-10-20,2,Yemen
2011-10-21,0,Yemen
2011-10-22,4,Yemen
2011-10-23,3,Yemen
2011-10-24,0,Yemen
2011-10-25,5,Yemen
2011-10-26,0,Yemen
2011-10-27,0,Yemen
2011-10-28,2,Yemen
2011-10-29,2,Yemen
2011-10-30,1,Yemen
2011-10-31,2,Yemen
2011-11-01,2,Yemen
2011-11-02,7,Yemen
2011-11-03,0,Yemen
2011-11-04,3,Yemen
2011-11-05,0,Yemen
2011-11-06,0,Yemen
2011-11-07,0,Yemen
2011-11-08,0,Yemen
2011-11-09,0,Yemen
2011-11-10,7,Yemen
2011-11-11,11,Yemen
2011-11-12,2,Yemen
2011-11-13,0,Yemen
2011-11-14,1,Yemen
2011-11-15,0,Yemen
2011-11-16,3,Yemen
2011-11-17,0,Yemen
2011-11-18,1,Yemen
2011-11-19,0,Yemen
2011-11-20,1,Yemen
2011-11-21,0,Yemen
2011-11-22,0,Yemen
2011-11-23,4,Yemen
2011-11-24,7,Yemen
2011-11-25,4,Yemen
2011-11-26,3,Yemen
2011-11-27,0,Yemen
2011-11-28,1,Yemen
2011-11-29,2,Yemen
2011-11-30,4,Yemen
2011-12-01,1,Yemen
2011-12-02,2,Yemen
2011-12-03,0,Yemen
2011-12-04,1,Yemen
2011-12-05,3,Yemen
2011-12-06,4,Yemen
2011-12-07,4,Yemen
2011-12-08,1,Yemen
2011-12-09,5,Yemen
2011-12-10,1,Yemen
2011-12-11,0,Yemen
2011-12-12,1,Yemen
2011-12-13,1,Yemen
2011-12-14,0,Yemen
2011-12-15,1,Yemen
2011-12-16,3,Yemen
2011-12-17,1,Yemen
2011-12-18,1,Yemen
2011-12-19,0,Yemen
2011-12-20,0,Yemen
2011-12-21,1,Yemen
2011-12-22,1,Yemen
2011-12-23,2,Yemen
2011-12-24,14,Yemen
2011-12-25,6,Yemen
2011-12-26,2,Yemen
2011-12-27,1,Yemen
2011-12-28,3,Yemen
2011-12-29,1,Yemen
2011-12-30,3,Yemen
2011-12-31,3,Yemen
